name,confed_prior,rank_prior,rank_new,rank_change,off_prior,off_new,off_change,def_prior,def_new,def_change,spi_prior,spi_new,spi_change,matches,carried_forward
Guadeloupe,CONCACAF,59,53,6,2.190171397255813,2.190171397255813,0.0,1.5394792276215925,1.5394792276215925,0.0,54.64769918699187,55.458609756097566,0.8109105691056939,0.0,True
Uganda,CAF,68,68,0,1.489900365293194,1.489900365293194,0.0,1.080030233830907,1.080030233830907,0.0,52.08070731707317,53.07139024390244,0.9906829268292725,0.0,True
United Arab Emirates,AFC,90,79,11,1.5418798598956065,1.5418798598956065,0.0,1.3783602004602742,1.3783602004602742,0.0,49.18302439024391,50.132813008130086,0.9497886178861776,0.0,True
Chad,CAF,108,97,11,1.0640971237773815,1.0640971237773815,0.0,1.185132130096062,1.185132130096062,0.0,45.56418699186992,46.49685365853658,0.9326666666666625,0.0,True
Congo,CAF,120,114,6,1.1846533033204036,1.1846533033204036,0.0,1.540643136031552,1.540643136031552,0.0,43.07487804878049,44.0209674796748,0.9460894308943111,0.0,True
Sao Tome and Principe,CAF,125,117,8,0.8783801534071634,0.8783801534071634,0.0,1.2449591478227418,1.2449591478227418,0.0,42.45440650406504,43.40150406504065,0.9470975609756067,0.0,True
Papua New Guinea,OFC,130,121,9,0.040437269051076,0.040437269051076,0.0,0.3174111508440385,0.3174111508440385,0.0,41.41969918699187,42.45526829268293,1.03556910569106,0.0,True
Malaysia,AFC,133,126,7,0.3128223245289248,0.3128223245289248,0.0,0.6828767660783357,0.6828767660783357,0.0,41.14340650406504,42.13339024390243,0.9899837398373919,0.0,True
Sri Lanka,AFC,134,127,7,0.1289495409778927,0.1289495409778927,0.0,0.4663340098397795,0.4663340098397795,0.0,40.920398373983744,41.93456910569106,1.014170731707317,0.0,True
Antigua and Barbuda,CONCACAF,137,131,6,0.0034343349725103,0.0034343349725103,0.0,0.3529786426347303,0.3529786426347303,0.0,40.33594308943089,41.35084552845529,1.0149024390243966,0.0,True
Lebanon,AFC,139,133,6,0.2668799240282873,0.2668799240282873,0.0,0.6924246625731656,0.6924246625731656,0.0,40.256520325203255,41.26606504065041,1.0095447154471557,0.0,True
Sudan,CAF,142,139,3,0.6356258311862544,0.6356258311862544,0.0,1.2084247923027651,1.2084247923027651,0.0,39.62127642276423,40.53409756097561,0.9128211382113776,0.0,True
South Sudan,CAF,145,143,2,0.4122366786381907,0.4122366786381907,0.0,0.9891326137405922,0.9891326137405922,0.0,38.94526016260163,39.91076422764228,0.9655040650406548,0.0,True
Turkmenistan,AFC,149,144,5,0.4067013706774944,0.4067013706774944,0.0,1.0387128419922322,1.0387128419922322,0.0,38.29783739837399,39.2530487804878,0.9552113821138093,0.0,True
North Korea,AFC,154,147,7,0.9472772393237384,0.9472772393237384,0.0,1.7826581119847489,1.7826581119847489,0.0,37.61825203252032,38.41619512195122,0.7979430894309019,0.0,True
Mauritius,CAF,158,154,4,0.487019486671552,0.487019486671552,0.0,1.3053114247215445,1.3053114247215445,0.0,36.49255284552846,37.37848780487805,0.8859349593495907,0.0,True
Somalia,CAF,164,158,6,0.2854884336962092,0.2854884336962092,0.0,1.141767558832842,1.141767558832842,0.0,35.390211382113826,36.29210569105691,0.9018943089430849,0.0,True
Djibouti,CAF,173,165,8,0.3791185307411888,0.3791185307411888,0.0,1.574673201158411,1.574673201158411,0.0,32.25772357723577,33.094016260162604,0.8362926829268318,0.0,True
Swaziland,CAF,175,166,9,0.487019486671552,0.487019486671552,0.0,1.7394488724773496,1.7394488724773496,0.0,32.113926829268294,32.938276422764226,0.8243495934959313,0.0,True
Yemen,AFC,183,177,6,0.1543583327167242,0.1543583327167242,0.0,1.6687714557179902,1.6687714557179902,0.0,28.289138211382117,29.108617886178862,0.8194796747967459,0.0,True
Nepal,AFC,185,178,7,0.0657967379105025,0.0657967379105025,0.0,1.5733049856772552,1.5733049856772552,0.0,27.918634146341464,28.76338211382114,0.8447479674796767,0.0,True
Seychelles,CAF,188,182,6,0.0034414684404991,0.0034414684404991,0.0,1.632889869204233,1.632889869204233,0.0,26.526747967479675,27.302447154471544,0.7756991869918686,0.0,True
Chinese Taipei,AFC,193,194,-1,0.1796394032591468,0.1796394032591468,0.0,2.867315150197835,2.867315150197835,0.0,19.46231707317073,20.076715447154477,0.6143983739837466,0.0,True
Montserrat,CONCACAF,196,196,0,0.0418306742559366,0.0418306742559366,0.0,2.759289230192666,2.759289230192666,0.0,18.630235772357725,19.236097560975608,0.605861788617883,0.0,True
Laos,AFC,198,203,-5,0.0044394383254649,0.0044394383254649,0.0,2.857287815811058,2.857287815811058,0.0,17.6500243902439,18.240658536585368,0.5906341463414684,0.0,True
Brunei,AFC,204,204,0,0.0010657709732887,0.0010657709732887,0.0,2.867315150197835,2.867315150197835,0.0,17.521227642276425,18.14111382113821,0.6198861788617833,0.0,True
Timor-Leste,AFC,202,205,-3,0.0011464868608664,0.0011464868608664,0.0,2.867315150197835,2.867315150197835,0.0,17.539243902439026,18.13449593495935,0.5952520325203245,0.0,True
Turks and Caicos Islands,CONCACAF,200,206,-6,0.0003814930009888,0.0003814930009888,0.0,2.867315150197835,2.867315150197835,0.0,17.563536585365856,18.11052032520325,0.546983739837394,0.0,True
