parameter,previous_stage3,stage4,change
strength_minimum,0.05,0.05,0.0
strength_median,0.5,0.5,0.0
strength_maximum,0.95,0.95,0.0
adjustment_factor,0.33277777777777784,0.33277777777777784,0.0
dynamism_variable,0.025,0.025,0.0
cutoff_quantile,0.07,0.01,-0.060000000000000005
cutoff_strength,0.113,0.059000000000000004,-0.054
low_team_defensive_anchor_P_c,3.784242871189775,1.1562617702448221,-2.627981100944953
low_team_defensive_penalty_cap,6.0,6.0,0.0
low_team_min_offensive_reward,0.01,0.01,0.0
adjusted_goal_cap,6.0,6.0,0.0
corrected_xGA_95th_percentile,10.165230613969603,3.228044054723211,-6.937186559246392
empirical_median_goals,1.0,1.0,0.0
prior_off_median,1.0000000000000002,0.9999999999999999,-3.3306690738754696e-16
prior_def_median,0.9999999999999999,1.0,1.1102230246251565e-16
final_off_median,1.0,1.0,0.0
final_def_median,1.0,1.0,0.0
