original,corrected
Albania,Albania
Andorra,Andorra
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Bermuda,Bermuda
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Bulgaria,Bulgaria
Canada,Canada
Cayman Islands,Cayman Islands
Chile,Chile
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Curaçao,Curacao
Cyprus,Cyprus
Czech Republic,Czech Republic
Denmark,Denmark
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
El Salvador,El Salvador
England,England
Estonia,Estonia
Faroe Islands,Faroe Islands
Finland,Finland
France,France
French Guiana,French Guiana
Georgia,Georgia
Germany,Germany
Gibraltar,Gibraltar
Greece,Greece
Grenada,Grenada
Guadeloupe,Guadeloupe
Guatemala,Guatemala
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
Iceland,Iceland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Kazakhstan,Kazakhstan
Kosovo,Kosovo
Latvia,Latvia
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Malta,Malta
Martinique,Martinique
Mexico,Mexico
Moldova,Moldova
Montenegro,Montenegro
Montserrat,Montserrat
Netherlands,Netherlands
Nicaragua,Nicaragua
North Macedonia,North Macedonia
Northern Ireland,Northern Ireland
Norway,Norway
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Poland,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Republic of Ireland,Ireland
Romania,Romania
Saint Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,St. Lucia
Saint Martin,St. Martin
Saint Vincent and the Grenadines,St. Vincent and the Grenadines
San Marino,San Marino
Scotland,Scotland
Serbia,Serbia
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovenia,Slovenia
Spain,Spain
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Trinidad and Tobago,Trinidad and Tobago
Turkey,Turkey
Turks and Caicos Islands,Turks and Caicos Islands
Ukraine,Ukraine
United States,USA
United States Virgin Islands,US Virgin Islands
Uruguay,Uruguay
Venezuela,Venezuela
Wales,Wales
